,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
Mediolanum Ch Emerg Mark Equity S A,IE0004394882,EAA Fund Global Emerging Markets Equity,Renta Variable Países Emergentes,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,4,4,," 791,121,102.00 € ",-11.22,-0.05,4.02,24.12,-0.05,n.d.,16.13,18.27,8.25,13.01,0.56,13.80,3.48,13.58,-9.35,8.96,6.35,9.84,-8.34,17.94,7.14,11.64,15.28,7.22,-14.30,11.62,16.24,12.15,2.89,22.89,0.50,8.69,-15.96,17.79,4.17,13.14,10.95,8.47,13.20,11.65
Mediolanum Ch Euro Bond L A,IE0004905935,EAA Fund EUR Government Bond,Renta Fija Gobierno Euro - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,10/19/1998,3,,8," 1,685,546,182.00 € ",-3.39,-1.56,-1.23,5.92,-1.56,n.d.,0.09,4.42,1.32,4.78,-3.08,6.39,-1.36,5.21,0.19,5.00,12.97,2.52,-0.36,5.99,1.29,4.57,-2.24,2.96,-1.01,2.55,5.14,4.32,3.91,3.70,-4.81,2.84,-17.57,9.67,6.48,6.52,1.33,4.50,0.44,2.95
Mediolanum Ch Euro Bond L B,IE0004906016,EAA Fund EUR Government Bond,Renta Fija Gobierno Euro - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,4/24/1998,3,,8," 1,685,546,182.00 € ",-2.77,-1.07,-1.24,5.17,-1.07,n.d.,0.10,3.83,1.29,4.56,-3.10,6.29,-1.38,5.15,0.18,5.00,12.96,2.52,-0.38,5.98,1.28,4.56,-2.25,2.95,-1.03,2.54,5.18,4.29,3.89,3.71,-4.82,2.85,-17.57,9.67,6.44,6.51,0.87,4.50,0.33,2.60
Mediolanum Ch Euro Bond S A,IE0004405654,EAA Fund EUR Government Bond,Renta Fija Gobierno Euro - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,2/19/2001,3,,8," 1,685,546,182.00 € ",-3.59,-1.61,-1.34,6.27,-1.61,n.d.,-0.12,4.64,1.11,4.85,-3.29,6.42,-1.56,5.22,-0.04,5.00,12.73,2.51,-0.58,5.99,1.09,4.57,-2.45,2.96,-1.23,2.54,5.06,4.32,3.73,3.71,-5.02,2.84,-17.74,9.66,6.24,6.52,1.13,4.51,0.22,2.96
Mediolanum Ch Euro Bond S B,IE0004405878,EAA Fund EUR Government Bond,Renta Fija Gobierno Euro - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,2/19/2001,3,,8," 1,685,546,182.00 € ",-3.58,-1.60,-1.32,6.27,-1.60,n.d.,-0.11,4.64,1.11,4.85,-3.29,6.41,-1.55,5.22,-0.04,5.01,12.72,2.51,-0.57,5.99,1.08,4.56,-2.44,2.96,-1.23,2.55,5.08,4.31,3.75,3.70,-5.02,2.85,-17.74,9.65,6.24,6.51,1.12,4.51,0.22,2.95
Mediolanum Ch Euro Income L A,IE0004879379,EAA Fund EUR Government Bond - Short Term,Renta Fija Gobierno Euro - Corto Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,10/19/1998,2,,2," 1,267,792,262.00 € ",-1.26,-0.65,-0.28,2.11,-0.65,n.d.,0.86,1.54,2.21,1.51,0.30,1.78,-0.35,1.40,0.46,1.03,0.03,0.49,-0.47,0.63,-0.89,0.31,-1.78,0.46,-1.33,1.01,-0.63,0.68,-0.47,1.33,-0.85,0.47,-4.97,2.14,3.53,1.76,2.67,1.58,1.93,0.58
Mediolanum Ch Euro Income L B,IE0004880377,EAA Fund EUR Government Bond - Short Term,Renta Fija Gobierno Euro - Corto Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,4/17/1998,2,,2," 1,267,792,262.00 € ",-0.89,-0.29,-0.36,1.72,-0.29,n.d.,0.68,1.34,2.19,1.34,0.28,1.70,-0.37,1.35,0.44,1.03,0.04,0.51,-0.49,0.62,-0.90,0.31,-1.80,0.48,-1.33,1.02,-0.64,0.67,-0.50,1.34,-0.87,0.49,-4.98,2.12,3.40,1.72,2.99,1.29,1.30,0.88
Mediolanum Ch Euro Income S A,IE0004404798,EAA Fund EUR Government Bond - Short Term,Renta Fija Gobierno Euro - Corto Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,2/19/2001,2,,2," 1,267,792,262.00 € ",-0.92,-0.35,-0.48,1.74,-0.35,n.d.,0.46,1.33,2.02,1.42,0.10,1.74,-0.55,1.37,0.22,1.02,-0.19,0.49,-0.68,0.64,-1.10,0.31,-1.99,0.46,-1.55,1.02,-0.84,0.67,-0.69,1.32,-1.07,0.47,-5.17,2.14,3.30,1.76,2.74,1.48,1.15,0.82
Mediolanum Ch Euro Income S B,IE0004404806,EAA Fund EUR Government Bond - Short Term,Renta Fija Gobierno Euro - Corto Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,2/19/2001,2,,2," 1,267,792,262.00 € ",-1.25,-0.67,-0.46,2.08,-0.67,n.d.,0.47,1.55,2.02,1.48,0.10,1.77,-0.56,1.39,0.22,1.02,-0.19,0.49,-0.68,0.63,-1.10,0.31,-2.00,0.47,-1.55,1.02,-0.83,0.68,-0.69,1.32,-1.07,0.48,-5.17,2.13,3.29,1.76,2.81,1.45,1.42,0.72
Mediolanum Ch European Equity L A,IE0004878967,EAA Fund Europe Large-Cap Blend Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,4/17/1998,4,4,," 873,148,453.00 € ",-7.19,-2.57,2.58,13.37,-2.57,n.d.,7.44,10.39,7.56,9.85,5.45,12.03,3.82,13.21,15.89,8.70,3.72,7.57,4.80,17.39,-2.49,11.57,6.01,7.66,-14.82,10.36,19.32,9.74,-8.47,25.97,19.57,8.74,-12.87,18.41,11.78,12.09,7.53,6.19,14.02,9.45
Mediolanum Ch European Equity LH A,IE00B604T843,EAA Fund Other Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,7/15/2009,4,4,," 873,148,453.00 € ",-7.12,-2.77,2.30,13.13,-2.77,n.d.,7.99,10.03,7.01,9.67,4.99,11.64,3.73,12.75,16.55,9.70,1.99,7.96,2.96,15.40,0.18,10.47,7.82,7.07,-14.83,10.08,17.36,9.17,-7.73,25.32,17.48,8.38,-12.54,17.54,10.30,11.92,6.49,6.59,15.18,8.97
Mediolanum Ch European Equity S A,IE0004393926,EAA Fund Europe Large-Cap Blend Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,4,4,," 873,148,453.00 € ",-7.22,-2.67,2.52,13.42,-2.67,n.d.,7.68,10.78,7.28,10.23,5.11,12.20,3.39,13.29,15.29,8.68,3.19,7.56,4.27,17.38,-3.00,11.57,5.47,7.65,-15.26,10.36,18.74,9.72,-8.95,25.96,18.96,8.76,-13.12,18.34,11.23,12.10,6.72,6.48,14.54,10.43
Mediolanum Ch European Equity SH A,IE00B609PZ88,EAA Fund Other Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,7/14/2009,4,4,," 873,148,453.00 € ",-7.15,-2.85,2.15,13.13,-2.85,n.d.,8.17,10.16,6.73,9.85,4.67,11.78,3.32,12.81,15.99,9.69,1.50,7.94,2.46,15.37,-0.33,10.45,7.30,7.07,-15.27,10.07,16.95,9.15,-8.23,25.30,17.19,8.72,-13.01,17.53,9.87,11.95,5.91,6.65,15.33,9.43
Mediolanum Ch Germany Equity L A,IE0004457085,EAA Fund Germany Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,4,7,," 95,107,759.00 € ",-10.41,-7.50,-6.53,16.63,-7.50,n.d.,-0.26,13.56,6.26,12.63,1.92,16.19,3.40,17.95,22.26,8.85,-3.14,11.25,9.94,19.38,3.74,13.79,13.20,9.78,-24.58,15.31,21.28,15.28,3.53,35.09,13.62,11.53,-22.38,24.95,15.97,17.52,7.89,7.16,16.37,10.91
Mediolanum Ch Germany Equity S A,IE0004457200,EAA Fund Germany Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,4,7,," 95,107,759.00 € ",-10.45,-7.60,-6.68,16.65,-7.60,n.d.,-0.63,13.56,5.83,12.50,1.46,16.12,2.91,17.91,21.62,8.84,-3.62,11.25,9.37,19.36,3.21,13.79,12.62,9.76,-24.97,15.31,20.67,15.27,3.09,35.09,12.95,11.45,-22.77,24.92,15.37,17.50,7.97,7.13,15.44,10.51
Mediolanum Ch Indstr & Matrls Opps L Acc,IE0004462408,EAA Fund Sector Equity Industrial Materials,Renta Variable Sectorial,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,4,4,," 1,497,278,870.00 € ",-8.86,5.01,7.27,21.06,5.01,n.d.,15.15,16.34,10.62,13.78,8.22,15.08,9.40,14.49,22.76,7.29,12.21,7.15,8.27,18.30,5.35,11.13,5.64,6.59,-8.37,12.99,27.53,11.17,11.57,23.61,20.08,10.25,-8.89,21.59,16.55,13.50,11.74,12.16,7.06,11.13
Mediolanum Ch Indstr & Matrls Opps S Acc,IE0004464008,EAA Fund Sector Equity Industrial Materials,Renta Variable Sectorial,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,4,4,," 1,497,278,870.00 € ",-8.94,4.87,7.02,21.12,4.87,n.d.,14.75,16.39,10.38,13.99,7.89,15.22,8.94,14.56,22.09,7.26,11.64,7.15,7.71,18.30,4.83,11.12,5.09,6.58,-8.83,12.98,26.82,11.18,11.00,23.60,19.59,10.22,-9.35,21.58,16.65,14.20,11.32,12.17,6.71,11.15
Mediolanum Ch International Bond L A,IE00B60CK411,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,7/15/2009,3,,8," 1,646,078,998.00 € ",-1.45,-0.11,-0.20,4.52,-0.11,n.d.,-3.97,4.11,-0.67,5.14,-2.82,5.94,-1.49,5.61,-14.59,8.69,13.84,6.72,7.91,12.67,3.00,7.21,-9.85,5.04,0.95,4.89,7.30,4.98,-0.09,5.47,1.41,4.34,-14.33,8.33,1.73,5.52,2.99,5.09,-5.37,4.83
Mediolanum Ch International Bond L B,IE00B603QV38,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,7/14/2009,3,,8," 1,646,078,998.00 € ",-1.46,-0.12,-0.22,4.54,-0.12,n.d.,-3.85,4.05,-0.69,4.94,-2.84,5.83,-1.53,5.56,-14.58,8.67,13.78,6.70,7.89,12.66,3.00,7.21,-9.87,5.03,0.95,4.91,7.04,4.98,-0.12,5.48,1.29,4.28,-14.25,8.33,1.71,5.51,2.31,5.06,-4.79,4.28
Mediolanum Ch International Bond LH A,IE0004906123,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,4/24/1998,2,,8," 1,646,078,998.00 € ",-2.65,-1.35,-1.42,4.69,-1.35,n.d.,-0.36,3.55,0.61,4.55,-2.80,5.56,-1.86,4.53,-4.89,3.98,6.34,2.65,-1.15,3.83,-0.41,4.21,-1.73,1.16,-3.57,2.46,3.70,2.93,2.86,4.42,-2.94,2.50,-16.37,7.59,4.43,6.48,-0.76,4.72,1.73,2.16
Mediolanum Ch International Bond LH B,IE0004906909,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,4/24/1998,2,,8," 1,646,078,998.00 € ",-2.65,-1.34,-1.43,4.69,-1.34,n.d.,-0.43,3.55,0.58,4.54,-2.81,5.56,-1.90,4.51,-4.98,3.94,5.76,2.67,-1.28,3.71,-0.09,4.17,-1.70,1.15,-3.58,2.47,3.61,2.82,2.84,4.32,-2.93,2.50,-16.39,7.62,4.39,6.46,-0.70,4.73,1.63,2.16
Mediolanum Ch International Bond S A,IE00B601LX41,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,7/14/2009,3,,8," 1,646,078,998.00 € ",-1.48,-0.16,-0.31,4.54,-0.16,n.d.,-4.17,4.11,-0.88,5.14,-3.02,5.94,-1.69,5.62,-14.78,8.68,13.57,6.71,7.68,12.67,2.78,7.21,-10.05,5.03,0.74,4.89,7.11,4.97,-0.31,5.50,1.21,4.34,-14.47,8.35,1.51,5.53,2.78,5.09,-5.57,4.82
Mediolanum Ch International Bond S B,IE00B605P459,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,7/14/2009,3,,8," 1,646,078,998.00 € ",-1.48,-0.17,-0.31,4.54,-0.17,n.d.,-4.18,4.12,-0.88,5.13,-3.01,5.94,-1.68,5.62,-14.78,8.67,13.59,6.71,7.67,12.67,2.79,7.21,-10.04,5.02,0.74,4.90,7.17,4.96,-0.29,5.50,1.25,4.35,-14.46,8.35,1.51,5.52,2.77,5.10,-5.57,4.82
Mediolanum Ch International Bond SH A,IE0004406397,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,Sí,Sí,2/19/2001,2,,8," 1,646,078,998.00 € ",-2.67,-1.40,-1.52,4.70,-1.40,n.d.,-0.59,3.55,0.40,4.54,-3.01,5.56,-2.04,4.53,-5.13,3.88,5.52,2.67,-1.58,3.65,-0.17,4.23,-1.80,1.13,-3.80,2.46,3.68,2.86,2.71,4.45,-3.19,2.50,-16.56,7.59,4.17,6.49,-0.94,4.72,1.51,2.14
Mediolanum Ch International Bond SH B,IE0004406629,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Medio Largo Plazo ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Trimestral,NO,NO,Sí,Sí,2/19/2001,2,,8," 1,646,078,998.00 € ",-2.68,-1.42,-1.55,4.69,-1.42,n.d.,-0.68,3.54,0.37,4.54,-3.02,5.56,-2.05,4.52,-5.14,3.91,5.66,2.69,-1.57,3.68,-0.37,4.18,-1.81,1.12,-3.77,2.46,3.73,2.84,2.75,4.43,-3.18,2.49,-16.53,7.59,4.18,6.49,-0.90,4.72,1.41,2.12
Mediolanum Ch International Equity L A,IE0032082988,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,11/28/2002,4,4,," 2,713,961,149.00 € ",-5.26,-2.92,0.24,9.83,-2.92,n.d.,7.73,10.79,10.35,10.27,6.23,12.14,6.81,12.66,15.26,6.54,14.56,5.29,5.40,17.34,5.34,10.17,3.59,6.25,-9.82,12.32,22.46,10.57,2.16,22.74,24.33,8.41,-15.80,18.20,14.65,9.10,18.81,8.16,5.87,12.53
Mediolanum Ch International Equity LH A,IE00B60DM373,EAA Fund Other Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,7/15/2009,4,4,," 2,713,961,149.00 € ",-7.15,-4.73,-1.46,12.12,-4.73,n.d.,10.57,10.42,10.37,10.25,4.50,12.88,5.39,13.18,19.78,7.37,6.75,6.98,-0.99,13.95,3.13,10.23,12.01,3.01,-13.98,12.78,17.41,11.25,6.70,24.45,16.80,8.58,-20.91,19.37,15.80,12.60,12.44,7.51,13.89,8.97
Mediolanum Ch International Equity S A,IE0030608636,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,6/13/2001,4,4,," 2,713,961,149.00 € ",-5.26,-2.98,0.33,9.97,-2.98,n.d.,7.60,10.82,10.11,10.17,5.98,12.09,6.47,12.63,14.76,6.53,14.08,5.28,4.98,17.33,4.91,10.17,3.16,6.24,-10.19,12.32,22.03,10.57,1.82,22.73,24.13,8.28,-16.14,18.20,14.17,9.10,18.63,7.74,5.72,12.58
Mediolanum Ch International Equity SH A,IE00B602Q215,EAA Fund Other Equity,Renta Variable Internacional ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,7/14/2009,4,4,," 2,713,961,149.00 € ",-7.19,-4.83,-1.64,12.13,-4.83,n.d.,10.18,10.42,10.31,10.23,4.32,12.87,5.13,13.18,19.42,7.36,6.16,6.99,-1.46,13.98,2.73,10.27,11.62,3.01,-14.38,12.76,17.08,11.23,6.43,24.42,16.52,8.56,-21.22,19.36,15.35,12.60,13.09,7.41,13.54,8.98
Mediolanum Ch International Income L A,IE00B60DMK45,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,7/15/2009,2,,2," 447,956,735.00 € ",0.83,0.95,0.68,2.69,0.95,n.d.,-4.27,3.99,-0.75,4.04,-1.08,3.98,-1.07,4.28,-11.15,7.29,8.53,5.45,8.05,10.87,1.90,5.61,-11.73,4.92,3.77,5.67,2.06,2.81,-4.32,4.40,1.91,3.77,-3.02,4.46,-1.85,4.19,4.63,3.15,-6.44,4.17
Mediolanum Ch International Income L B,IE00B608CJ84,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,7/14/2009,2,,2," 447,956,735.00 € ",0.82,0.93,0.65,2.65,0.93,n.d.,-4.21,3.93,-0.76,4.01,-1.10,3.98,-1.09,4.28,-11.16,7.30,8.51,5.45,8.02,10.84,1.91,5.61,-11.76,4.93,3.78,5.67,2.01,2.83,-4.33,4.40,1.90,3.77,-3.03,4.55,-1.86,4.19,4.39,3.19,-6.26,4.10
Mediolanum Ch International Income LH A,IE0004880591,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,4/17/1998,2,,2," 447,956,735.00 € ",-0.78,-0.52,-0.40,1.24,-0.52,n.d.,-0.03,1.09,1.06,1.18,-0.69,1.40,-1.31,1.10,-2.18,0.76,-0.22,0.55,-1.24,0.89,-2.22,1.07,-2.78,0.41,-2.36,0.61,-1.16,0.58,-1.00,0.84,-2.17,0.25,-5.12,1.46,1.49,1.52,1.45,1.30,1.11,0.72
Mediolanum Ch International Income LH B,IE0004880609,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,4/17/1998,2,,2," 447,956,735.00 € ",-0.49,-0.15,-0.41,1.05,-0.15,n.d.,0.07,0.97,0.98,1.16,-0.76,1.40,-1.36,1.10,-2.20,0.66,-0.29,0.51,-1.32,0.81,-1.77,0.79,-2.85,0.40,-2.39,0.62,-1.17,0.59,-0.93,0.84,-2.24,0.29,-5.17,1.51,1.51,1.54,1.13,1.34,0.79,0.81
Mediolanum Ch International Income S A,IE00B603X672,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,7/14/2009,2,,2," 447,956,735.00 € ",0.83,0.91,0.58,2.67,0.91,n.d.,-4.46,3.99,-0.95,4.16,-1.29,4.06,-1.28,4.32,-11.35,7.29,8.28,5.44,7.82,10.86,1.70,5.62,-11.94,4.93,3.57,5.67,1.90,2.82,-4.52,4.40,1.69,3.76,-3.22,4.53,-2.07,4.18,4.84,3.19,-7.02,4.41
Mediolanum Ch International Income S B,IE00B603Z495,EAA Fund Global Diversified Bond,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,7/14/2009,2,,2," 447,956,735.00 € ",0.82,0.90,0.58,2.67,0.90,n.d.,-4.46,3.98,-0.95,4.16,-1.28,4.06,-1.28,4.32,-11.35,7.29,8.29,5.45,7.81,10.86,1.70,5.61,-11.94,4.93,3.56,5.67,1.91,2.82,-4.53,4.40,1.70,3.75,-3.23,4.54,-2.06,4.19,4.82,3.19,-7.00,4.41
Mediolanum Ch International Income SH A,IE0004404913,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,2/19/2001,2,,2," 447,956,735.00 € ",-0.81,-0.54,-0.41,1.28,-0.54,n.d.,-0.16,1.14,0.86,1.19,-0.91,1.42,-1.55,1.11,-2.19,0.51,-0.56,0.47,-1.86,0.99,-2.10,0.83,-2.97,0.36,-2.57,0.59,-1.35,0.58,-1.28,0.87,-2.46,0.30,-5.33,1.49,1.27,1.51,1.18,1.29,0.96,0.76
Mediolanum Ch International Income SH B,IE0004405092,EAA Fund Global Diversified Bond - EUR Hedged,Renta Fija Gobierno Internacional - Cortoo Plazo  ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,Semestral,NO,NO,NO,NO,2/19/2001,2,,2," 447,956,735.00 € ",-0.79,-0.57,-0.44,1.26,-0.57,n.d.,-0.14,1.13,0.85,1.18,-0.90,1.41,-1.54,1.11,-2.47,0.62,-0.65,0.43,-1.95,0.96,-1.90,0.81,-2.93,0.39,-2.64,0.58,-1.48,0.58,-1.19,0.82,-2.49,0.28,-5.26,1.50,1.28,1.52,1.18,1.29,0.95,0.75
Mediolanum Ch Italian Equity L A,IE0004905604,EAA Fund Italy Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,4/3/1998,4,4,," 277,674,242.00 € ",-5.55,-1.67,3.87,10.62,-1.67,n.d.,19.36,11.21,17.11,11.74,11.46,14.96,7.71,18.24,26.49,24.23,-0.80,11.93,15.27,17.72,-11.34,23.68,12.55,11.27,-16.35,17.24,22.33,12.95,-8.79,35.25,32.62,14.14,-14.42,21.45,10.64,16.90,18.42,9.51,31.87,9.90
Mediolanum Ch Italian Equity S A,IE0004394007,EAA Fund Italy Equity,Renta Variable Europa,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,No,Sí,Sí,Sí,2/19/2001,5,4,," 277,674,242.00 € ",-5.59,-1.78,3.69,10.65,-1.78,n.d.,18.93,11.22,16.69,11.57,11.01,14.88,7.25,18.20,25.85,24.21,-1.31,11.93,14.68,17.70,-11.81,23.67,12.01,11.27,-16.77,17.21,21.87,12.95,-9.27,35.23,32.17,14.17,-14.86,21.44,10.08,16.89,18.12,8.80,31.42,9.89
Mediolanum Ch Liquidity Euro L A,IE0004878637,EAA Fund EUR Ultra Short-Term Bond,Activos Monetarios ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,10/19/1998,1,,2," 5,160,078,652.00 € ",-0.20,0.10,0.48,0.47,0.10,n.d.,1.33,0.35,2.45,0.37,1.17,0.86,0.56,0.74,-0.01,0.15,0.28,0.18,0.19,0.36,0.24,0.15,0.03,0.23,-0.19,0.26,0.04,0.19,-0.10,1.20,-0.41,0.12,-1.87,1.37,2.95,0.43,3.22,0.24,1.82,0.13
Mediolanum Ch Liquidity Euro S A,IE0004400374,EAA Fund EUR Ultra Short-Term Bond,Activos Monetarios ,Mediolanum International Funds Limited,Grupo Mediolanum ,n.a.,n.a.,NO,NO,NO,NO,2/19/2001,1,,2," 5,160,078,652.00 € ",-0.19,0.10,0.48,0.46,0.10,n.d.,1.31,0.34,2.37,0.36,1.08,0.86,0.46,0.74,-0.14,0.15,0.17,0.18,0.08,0.36,0.12,0.15,-0.09,0.22,-0.30,0.26,-0.07,0.18,-0.22,1.20,-0.51,0.10,-1.98,1.37,2.83,0.43,3.12,0.25,1.77,0.11
